no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
10,120596,Clamoxyl vet,Amoksicillin,Tablett,200 mg,7 mg/kg,0.035,1,0.035,,40,1300,1,5,1.4,227.5,455,stk,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=3
15239,120105,Clamoxyl vet,Amoksicillin,Injeksjon,150 mg per 1 ml,7 mg/kg,1,10,0.1,,40,1300,1,5,4,650,1300,ml,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=4
2,40620,Clamoxyl vet,Amoksicillin,Tablett,40 mg,7 mg/kg,0.175,1,0.175,,40,1300,1,5,7,1137.5,2275,stk,https://www.felleskatalogen.no/medisin-vet/clamoxyl-vet-zoetis-547554?markering=5
8,73734,Colivet vet,Neomycin,Oral oppløsning,200 mg per 1 ml,60  mg /kg,0.3,1,0.3,,40,1300,1,10,12,3900,7800,ml,https://medicines.health.europa.eu/veterinary/no/600000090087
38,204824,Dihydrostreptomycin agrovet vet,Dihydrostreptomycin,Tablett,500 mg,11 mg/kg q 12,0.044,1,0.044,,40,1300,1,10,1.76,572,1144,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-aminoglycosides
531,188292,Dihydrostreptomycin vet,Dihydrostreptomycin,Tablett,500 mg,11 mg/kg q 12,0.044,1,0.044,,40,1300,1,10,1.76,572,1144,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-aminoglycosides
2863,188284,Dihydrostreptomycin vet,Dihydrostreptomycin,Tablett,500 mg,11 mg/kg q 12,0.044,1,0.044,,40,1300,1,10,1.76,572,1144,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-aminoglycosides
714,334462,Engemycin vet  100 mg/ml,Oksytetrasyklin,Injeksjon,100 mg per 1 ml,5-20 mg/kg,0.05,1,0.05,0.2,40,1300,1,2,2,520,1040,ml,https://medicines.health.europa.eu/veterinary/no/600000057014
1,544990,Florselect vet 300 mg /ml,Florfenikol,Injeksjon,300 mg per 1 ml,20 mg/kg,1,15,0.066666667,,40,1300,1,2,2.666666667,173.3333333,346.6666667,ml,https://fass.se/animal/product/20110210000036/fass-text
6,453130,Gensumycin 40 mg/ml,Gentamicin,Injeksjon,40 mg per 1 ml,2-4 mg/kg,0.05,1,0.05,0.1,40,1300,1,3,2,390,780,ml,https://medicines.health.europa.eu/veterinary/no/600000072932
4,216531,Genta-Kel 10 vet,Gentamicin,Injeksjon,100 mg per 1 ml,2-4 mg/kg,0.02,1,0.02,0.04,40,1300,1,3,0.8,156,312,ml,https://medicines.health.europa.eu/veterinary/no/600000072932
2,170628,Gentamicin B. Braun 1 mg/ml,Gentamicin,Infusjon,1 mg per 1 ml,2-4 mg/kg,2,1,2,4,40,1300,1,10,80,52000,104000,ml,https://medicines.health.europa.eu/veterinary/no/600000072932
8680,76460,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=0
3676,76460,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=0
15804,27442,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=1
1026,27442,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=2
38448,27429,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=3
70,27429,Mastipen vet,Benzylpenicillin,Intramammarie,300 mg per 1 sprøyte,,,,,,1,4,1,6,1,24,,sprøyte,https://www.felleskatalogen.no/medisin-vet/mastipen-vet-vetpharma-a-s-561240?markering=4
344,408074,Norodine vet,Trimetoprim | Sulfadiazin,Oralpasta,58 mg per 1 g | 288.3 mg per 1 g,15 mg/kg,0.043,1,0.043,,40,1300,1,10,1.72,559,,g,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
184,408074,Norodine vet,Trimetoprim | Sulfadiazin,Oralpasta,58 mg per 1 g | 288.3 mg per 1 g,15 mg/kg,0.043,1,0.043,,40,1300,1,10,1.72,559,,g,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
